,NOMDIS,CODBAR,CODDISTRIT,NOMBRE,security,transport,health,education
0,Villaverde,172,17,San Cristobal,0,20,6,3
1,Villaverde,175,17,Los Angeles,1,94,18,4
2,Villaverde,171,17,"Villaverde Alto, Casco Histórico de Villaverde",2,127,23,6
4,Villaverde,174,17,Los Rosales,0,101,20,3
22,Villaverde,173,17,Butarque,0,34,6,4
232, , , , ,0,0,0,0
630,Vicálvaro,191,19,Casco histórico de Vicálvaro,1,125,18,3
633,Vicálvaro,194,19,El Cañaveral,0,0,1,0
648,Vicálvaro,193,19,Valderrivas,0,37,5,3
658,Fuencarral - El Pardo,085,08,La Paz,1,153,23,5
662,Vicálvaro,192,19,Valdebernardo,0,65,7,2
848,San Blas - Canillejas,205,20,Rosas,1,85,14,3
904,Villa de Vallecas,181,18,Casco Histórico de Vallecas,1,131,18,4
906,Villa de Vallecas,183,18,Ensanche de Vallecas,0,81,18,4
913,Villa de Vallecas,182,18,Santa Eugenia,0,74,13,3
1353,Usera,121,12,Orcasitas,0,86,12,3
1354,Usera,123,12,San Fermín,0,95,9,1
1356,Usera,127,12,Pradolongo,2,34,9,0
1359,Usera,124,12,Almendrales,0,101,12,2
1362,Usera,125,12,Moscardó,1,48,19,2
1370,Usera,126,12,Zofío,0,47,8,2
1377,Usera,122,12,Orcasur,0,102,8,1
1751,Latina,102,10,Puerta del Angel,0,90,28,3
1878,Tetuán,065,06,Valdeacederas,2,49,13,1
1879,Tetuán,066,06,Berruguete,0,32,13,0
1880,Tetuán,062,06,Cuatro Caminos,0,106,29,1
1881,Chamartín,051,05,El Viso,0,168,26,2
1885,Tetuán,063,06,Castillejos,1,58,17,1
1886,Tetuán,061,06,Bellas Vistas,0,60,16,1
1887,Tetuán,064,06,Almenara,2,79,16,2
1889,Chamartín,056,05,Castilla,2,176,17,0
1987,Chamartín,054,05,Hispanoamérica,0,126,33,0
2019,Moncloa - Aravaca,093,09,Ciudad Universitaria,0,291,19,0
2736,Chamberí,076,07,Vallehermoso,0,69,21,2
2874,Retiro,032,03,Adelfas,0,76,7,1
2875,Retiro,034,03,Ibiza,1,73,17,1
2876,Retiro,036,03,Niño Jesús,0,50,11,2
2879,Retiro,031,03,Pacífico,1,100,22,2
2885,Retiro,035,03,Jerónimos,0,152,5,1
2886,Salamanca,042,04,Goya,1,134,30,0
2899,Retiro,033,03,Estrella,0,71,17,1
2926,Arganzuela,027,02,Atocha,2,63,2,1
2936,Centro,013,01,Cortes,2,156,15,0
2949,Puente de Vallecas,136,13,Numancia,1,108,26,1
3477,Puente de Vallecas,133,13,Palomeras Bajas,3,106,20,5
3479,Puente de Vallecas,132,13,San Diego,0,70,25,1
3482,Puente de Vallecas,134,13,Palomeras Sureste,0,167,21,6
3498,Puente de Vallecas,131,13,Entrevías,1,132,19,6
3507,Puente de Vallecas,135,13,Portazgo,0,76,18,5
4354,Moncloa - Aravaca,097,09,Aravaca,0,73,14,2
4355,Moncloa - Aravaca,092,09,Argüelles,1,84,22,1
