id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,lat,long,security,transport,health,education
21742,64,2,1,3,85000,1328,0,0,0,1,0,40.342876,-3.688974,0,20,6,3
21741,70,3,1,4,129900,1856,1,0,1,1,0,40.357024,-3.697098,1,94,18,4
21740,94,2,2,1,144247,1535,0,0,1,1,0,40.344622,-3.715213,2,127,22,7
21739,64,2,1,0,109900,1717,0,0,1,1,0,40.343787,-3.70866,2,127,22,7
21738,108,2,2,4,260000,2407,0,0,1,1,1,40.355564,-3.687558,0,101,16,7
21737,126,4,2,3,195000,1548,0,0,0,1,1,40.343386,-3.712518,2,127,22,7
21736,120,5,2,1,190000,1583,0,0,0,1,1,40.339209,-3.708948,2,127,22,7
21733,85,2,1,7,131400,1546,1,0,0,1,0,40.350901,-3.688469,0,101,16,7
21732,69,2,2,2,118000,1710,1,0,0,1,0,40.348463,-3.706368,2,127,22,7
21730,123,3,2,4,195000,1585,0,0,1,1,0,40.358249,-3.685168,0,101,16,7
21729,109,3,2,3,205000,1881,0,0,1,1,0,40.351107,-3.701806,1,94,18,4
21728,64,3,1,3,72000,1125,0,0,0,1,0,40.342327,-3.688011,0,20,6,3
21727,115,3,1,3,160000,1391,0,0,0,1,0,40.352599,-3.689821,0,101,16,7
21719,51,2,1,0,93000,1824,0,0,0,0,0,40.343924,-3.711262,2,127,22,7
21718,134,3,2,2,130000,970,0,0,1,0,0,40.352178,-3.715589,2,127,22,7
21717,62,2,1,2,104000,1677,0,0,0,1,0,40.345432,-3.70837,2,127,22,7
21716,75,3,1,3,138000,1840,0,0,0,1,1,40.34503,-3.704253,2,127,22,7
21714,65,3,1,1,150000,2308,1,0,1,1,0,40.355037,-3.690745,0,101,16,7
21713,70,2,1,3,145900,2084,0,0,0,1,0,40.344698,-3.713022,2,127,22,7
21712,75,1,1,1,92500,1233,0,0,1,1,0,40.333711,-3.706874,2,127,22,7
21711,123,3,2,7,298000,2423,0,0,1,1,1,40.355564,-3.687558,0,101,16,7
21710,61,3,1,2,99900,1638,0,0,0,1,0,40.343924,-3.711262,2,127,22,7
21708,61,3,1,5,100000,1639,0,0,0,1,0,40.35413,-3.681297,0,34,6,4
21707,71,3,1,1,131400,1851,1,0,0,1,0,40.346334,-3.704141,2,127,22,7
21704,78,4,1,2,146700,1881,0,0,1,1,0,40.354718,-3.69438,1,94,18,4
21703,52,1,1,1,92500,1779,0,0,0,0,0,40.350513,-3.68781,0,101,16,7
21702,125,3,3,7,275000,2200,0,0,1,1,0,40.345045,-3.675174,0,34,6,4
21701,75,0,1,1,83800,1117,0,0,1,1,0,40.333711,-3.706874,2,127,22,7
21700,97,2,2,0,266122,2744,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21699,93,2,2,7,228273,2455,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21698,103,4,2,1,171900,1669,0,0,1,1,0,40.357024,-3.697098,1,94,18,4
21697,83,2,2,7,228273,2750,0,0,1,1,1,40.355437,-3.695686,1,94,18,4
21696,45,2,1,1,85000,1889,1,0,0,1,0,40.351709,-3.68882,0,101,16,7
21695,120,3,2,7,298000,2483,0,0,1,0,1,40.355564,-3.687558,0,101,16,7
21694,74,3,1,1,139000,1878,0,0,0,1,0,40.357619,-3.699035,1,94,18,4
21693,125,3,2,7,272500,2180,0,0,1,1,0,40.348472,-3.676354,0,34,6,4
21692,126,4,2,0,275000,2183,0,0,1,1,1,40.341583,-3.676471,0,34,6,4
21691,158,3,2,4,289000,1829,0,0,1,1,1,40.355952,-3.681969,0,34,6,4
21689,108,3,2,4,179000,1657,0,0,1,1,0,40.349463,-3.69962,1,94,18,4
21687,51,2,1,3,89500,1755,1,0,0,1,0,40.35,-3.68547,0,101,16,7
21686,112,3,2,3,289000,2580,0,0,1,1,1,40.349551,-3.678005,0,34,6,4
21685,109,3,2,2,216278,1984,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21684,107,3,2,1,207503,1939,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21683,76,2,2,3,162793,2142,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21682,105,3,2,1,204999,1952,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21681,109,3,2,4,220879,2026,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21680,108,3,2,4,218258,2021,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21679,109,3,2,0,231855,2127,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21678,76,2,2,4,163397,2150,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21677,76,2,2,2,160759,2115,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21676,108,3,2,3,217169,2011,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21675,76,2,2,5,165208,2174,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21674,109,3,2,3,219775,2016,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21673,108,3,2,0,230817,2137,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21672,108,3,2,2,213722,1979,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21671,111,2,2,6,230749,2079,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21670,115,3,2,2,233789,2033,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21669,115,3,2,1,230789,2007,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21668,117,3,2,1,244171,2087,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21667,117,3,2,1,243468,2081,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21666,117,3,2,1,244798,2092,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21665,118,3,2,1,219235,1858,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21664,115,3,2,5,242789,2111,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21663,97,4,1,3,130000,1340,0,0,0,0,0,40.344864,-3.708213,2,127,22,7
21662,106,3,2,3,251569,2373,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21661,103,3,2,3,235402,2285,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21660,103,3,2,1,235172,2283,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21659,103,3,2,5,236227,2293,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21658,114,3,2,2,254710,2234,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21656,140,3,3,7,272500,1946,0,0,1,1,0,40.348472,-3.676354,0,34,6,4
21655,58,3,1,2,85000,1466,0,0,0,1,0,40.347486,-3.690329,0,101,16,7
21654,65,3,1,1,94000,1446,0,0,0,1,0,40.340972,-3.691918,0,20,6,3
21653,110,4,2,1,175000,1591,0,0,0,1,0,40.350901,-3.688469,0,101,16,7
21650,90,1,1,7,183159,2035,0,1,1,1,1,40.33832,-3.67707,0,34,6,4
21649,125,3,2,1,210000,1680,0,0,1,1,1,40.359752,-3.690781,0,101,16,7
21648,58,2,1,0,85000,1466,0,0,0,1,0,40.343968,-3.716581,2,127,22,7
21647,92,3,1,6,159900,1738,0,0,1,1,0,40.358815,-3.696105,1,94,18,4
21646,70,2,1,3,117000,1671,0,0,0,1,0,40.345134,-3.712582,2,127,22,7
21645,54,2,1,2,110000,2037,0,0,0,1,0,40.34657,-3.708132,2,127,22,7
21643,108,3,1,2,140000,1296,0,0,0,1,0,40.345742,-3.714268,2,127,22,7
21642,65,2,1,3,106500,1638,0,0,0,1,0,40.353011,-3.685633,0,101,16,7
21641,102,3,2,3,127500,1250,0,0,0,1,0,40.351725,-3.686564,0,101,16,7
21640,80,2,1,3,148000,1850,0,0,1,1,1,40.333917,-3.699437,2,127,22,7
21639,108,2,1,4,205000,1898,0,0,1,1,1,40.34603,-3.676973,0,34,6,4
21638,80,3,2,4,220000,2750,0,0,1,1,1,40.351725,-3.686564,0,101,16,7
21637,16,3,1,1,114000,7125,0,0,0,1,0,40.348992,-3.6892,0,101,16,7
21636,54,2,1,3,89900,1665,0,0,0,1,0,40.343037,-3.70897,2,127,22,7
21635,70,2,2,4,210000,3000,0,0,1,1,1,40.353782,-3.685784,0,101,16,7
21634,99,2,2,0,145000,1465,0,0,1,1,0,40.344828,-3.705805,2,127,22,7
21633,123,4,2,3,275000,2236,0,0,1,1,0,40.358904,-3.689269,0,101,16,7
21632,64,3,1,5,104000,1625,0,0,0,1,0,40.351746,-3.695207,1,94,18,4
21631,107,3,2,6,228629,2137,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21630,76,2,2,6,169021,2224,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21629,109,3,2,5,223022,2046,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21628,108,3,2,5,220072,2038,0,1,1,1,1,40.34114,-3.67731,0,34,6,4
21627,103,3,2,6,235718,2289,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21626,103,3,2,1,245000,2379,0,1,1,1,1,40.33989,-3.67918,0,34,6,4
21625,143,3,2,0,260000,1818,0,1,1,1,1,40.33989,-3.67918,0,34,6,4
21624,99,3,2,6,235000,2374,0,1,1,1,1,40.33989,-3.67918,0,34,6,4
21623,100,3,2,3,235000,2350,0,1,1,1,1,40.33989,-3.67918,0,34,6,4
21622,176,2,2,6,265000,1506,0,1,1,1,1,40.33989,-3.67918,0,34,6,4
21621,87,2,2,2,190000,2184,0,1,1,1,1,40.33989,-3.67918,0,34,6,4
21620,106,3,2,4,256115,2416,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21619,113,3,2,0,261989,2318,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21618,115,3,2,1,273353,2377,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21617,129,3,2,7,297621,2307,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21616,115,3,2,6,279778,2433,0,1,1,1,0,40.33808,-3.679093,0,34,6,4
21614,90,3,2,2,195000,2167,0,0,1,1,0,40.350842,-3.701537,1,94,18,4
21613,60,2,1,1,126900,2115,1,0,0,1,0,40.354798,-3.692027,0,101,16,7
21611,80,3,1,0,145000,1812,0,0,0,1,0,40.344588,-3.712261,2,127,22,7
21610,73,2,1,1,127500,1747,0,0,1,1,0,40.343968,-3.716581,2,127,22,7
21609,122,3,2,0,179000,1467,0,0,1,1,1,40.333917,-3.699437,2,127,22,7
21608,98,3,2,0,266122,2716,0,0,1,1,1,40.355437,-3.695686,1,94,18,4
21607,97,3,2,0,261989,2701,0,0,1,1,1,40.355437,-3.695686,1,94,18,4
21606,111,3,2,7,297621,2681,0,0,1,1,1,40.355437,-3.695686,1,94,18,4
21605,99,3,2,3,251569,2541,0,0,1,1,1,40.355437,-3.695686,1,94,18,4
21603,85,3,1,4,138000,1624,0,0,0,1,0,40.34346,-3.717147,2,127,22,7
21602,90,3,2,2,225000,2500,0,0,1,1,1,40.343867,-3.675063,0,34,6,4
21601,133,2,1,6,264000,1985,0,0,1,1,1,40.35707,-3.68532,0,101,16,7
21600,60,3,1,2,98260,1638,0,0,0,1,0,40.348469,-3.688701,0,101,16,7
21599,133,3,3,7,275000,2068,0,0,1,1,0,40.345045,-3.675174,0,34,6,4
21598,85,2,1,2,124000,1459,0,0,0,1,0,40.345561,-3.713176,2,127,22,7
21597,59,2,2,3,164513,2788,0,1,1,1,1,40.355715,-3.702369,1,94,18,4
21596,59,2,2,1,164416,2787,0,1,1,1,1,40.355715,-3.702369,1,94,18,4
21595,58,2,2,4,165435,2852,0,1,1,1,1,40.355715,-3.702369,1,94,18,4
21594,79,3,2,1,202629,2565,0,1,1,1,1,40.355715,-3.702369,1,94,18,4
21593,60,2,2,0,164242,2737,0,1,1,1,1,40.355715,-3.702369,1,94,18,4
21592,121,3,2,3,260000,2149,0,0,1,1,1,40.35867,-3.68288,0,101,16,7
21591,126,3,2,2,294900,2340,0,1,1,1,1,40.350106,-3.704889,2,127,22,7
21590,134,4,2,1,319900,2387,0,1,1,1,1,40.350106,-3.704889,2,127,22,7
21589,111,3,2,1,259900,2341,0,1,1,1,1,40.350106,-3.704889,2,127,22,7
21588,122,3,2,2,285900,2343,0,1,1,1,1,40.350106,-3.704889,2,127,22,7
21587,125,3,2,1,289900,2319,0,1,1,1,1,40.350106,-3.704889,2,127,22,7
21586,102,2,2,1,249900,2450,0,1,1,1,1,40.350106,-3.704889,2,127,22,7
21585,104,3,2,1,273352,2628,0,0,1,1,1,40.340605,-3.674808,0,34,6,4
21584,66,3,1,1,104900,1589,0,0,1,1,0,40.340972,-3.691918,0,20,6,3
21583,95,2,1,2,155000,1632,0,0,0,1,0,40.343924,-3.711262,2,127,22,7
21582,74,3,1,1,100000,1351,0,0,0,1,0,40.341441,-3.684808,0,20,6,3
21581,97,2,1,0,210000,2165,0,0,1,1,1,40.356048,-3.682015,0,34,6,4
21580,90,2,2,7,240000,2667,0,0,1,1,1,40.343085,-3.703988,2,127,22,7
21579,130,4,2,3,257000,1977,0,0,1,1,0,40.348395,-3.711662,2,127,22,7
21578,49,2,1,0,84000,1714,0,0,1,1,0,40.342162,-3.708733,2,127,22,7
21577,151,3,2,6,314000,2079,0,0,1,1,1,40.356328,-3.684717,0,101,16,7
21576,69,3,1,4,107000,1551,0,0,0,1,0,40.343593,-3.686298,0,20,6,3
21575,170,3,2,8,325000,1912,0,0,1,1,1,40.349412,-3.67827,0,34,6,4
21573,98,3,2,7,284900,2907,0,0,1,1,1,40.356574,-3.684857,0,101,16,7
21572,50,1,1,7,135000,2700,0,0,1,1,1,40.342588,-3.703381,2,127,22,7
21571,136,3,2,5,230000,1691,0,0,1,1,1,40.333917,-3.699437,2,127,22,7
21569,95,3,1,2,185000,1947,0,0,0,1,0,40.343924,-3.711262,2,127,22,7
21567,43,1,1,0,84000,1953,0,0,0,1,0,40.348469,-3.688701,0,101,16,7
21559,110,3,2,5,275000,2500,0,0,1,1,1,40.349551,-3.678005,0,34,6,4
21558,83,3,1,3,91500,1102,0,0,0,1,0,40.343968,-3.716581,2,127,22,7
21556,65,2,1,0,86860,1336,1,0,0,1,0,40.348357,-3.708467,2,127,22,7
21555,58,3,1,3,105000,1810,0,0,0,1,0,40.354038,-3.681361,0,34,6,4
21554,115,3,2,6,216000,1878,0,0,1,1,1,40.341583,-3.676471,0,34,6,4
21553,82,3,1,4,120000,1463,0,0,0,1,0,40.346255,-3.710602,2,127,22,7
21552,83,3,1,0,135000,1627,0,0,1,1,0,40.348395,-3.711662,2,127,22,7
21551,90,2,1,0,212000,2356,0,0,1,1,0,40.341583,-3.676471,0,34,6,4
21550,95,2,2,5,184000,1937,0,0,1,1,0,40.342327,-3.688011,0,20,6,3
21548,178,4,2,5,299990,1685,0,0,1,1,1,40.35892,-3.683701,0,101,16,7
21547,59,2,1,2,117000,1983,0,0,0,1,0,40.353452,-3.685104,0,101,16,7
21546,100,4,1,0,165000,1650,0,0,1,1,0,40.354584,-3.695312,1,94,18,4
21545,68,3,1,4,95000,1397,1,0,0,1,0,40.34792,-3.715401,2,127,22,7
21542,81,3,2,3,155000,1914,0,0,1,1,1,40.333917,-3.699437,2,127,22,7
21541,91,2,2,5,228208,2508,0,0,1,1,1,40.355437,-3.695686,1,94,18,4
21540,95,3,1,3,100000,1053,1,0,0,1,0,40.352779,-3.680717,0,34,6,4
21538,60,2,1,3,105000,1750,0,0,0,0,0,40.346578,-3.713574,2,127,22,7
21537,80,3,1,3,165000,2062,0,0,1,1,0,40.349463,-3.69962,1,94,18,4
21536,60,2,1,5,73000,1217,0,0,1,1,0,40.34155,-3.688185,0,20,6,3
21535,50,1,1,6,159000,3180,0,0,1,1,1,40.343085,-3.703988,2,127,22,7
21533,96,2,2,7,210000,2188,0,0,1,1,1,40.358205,-3.702911,1,94,18,4
21532,71,2,2,2,198000,2789,0,0,1,1,0,40.355054,-3.685634,0,101,16,7
21531,74,2,1,1,139900,1891,0,0,0,1,0,40.351725,-3.686564,0,101,16,7
21530,65,2,1,2,110000,1692,0,0,0,1,0,40.340972,-3.691918,0,20,6,3
21528,75,3,1,2,103000,1373,0,0,0,1,0,40.344698,-3.713022,2,127,22,7
21527,63,3,1,0,100000,1587,1,0,0,0,0,40.348482,-3.689721,0,101,16,7
21525,115,3,1,1,154900,1347,0,0,0,1,0,40.344698,-3.713022,2,127,22,7
21524,63,2,1,2,82260,1306,0,0,1,1,0,40.343593,-3.686298,0,20,6,3
21522,100,2,2,0,154900,1549,0,0,1,1,1,40.334466,-3.699821,2,127,22,7
21521,90,3,2,3,155000,1722,0,0,1,1,1,40.335347,-3.699474,2,127,22,7
21520,66,3,1,2,88000,1333,0,0,0,1,0,40.344359,-3.690945,0,20,6,3
21519,102,3,2,5,225000,2206,0,0,1,1,0,40.354792,-3.699311,1,94,18,4
21517,95,4,1,4,138000,1453,0,0,0,1,0,40.349521,-3.689331,0,101,16,7
21516,120,3,1,2,195000,1625,0,0,1,1,0,40.358952,-3.695762,1,94,18,4
21515,90,3,2,4,222000,2467,0,0,1,1,1,40.342972,-3.67455,0,34,6,4
21514,64,3,1,0,80500,1258,1,0,0,1,0,40.354058,-3.691873,0,101,16,7
21513,80,3,1,3,182000,2275,0,0,1,1,0,40.355279,-3.694675,1,94,18,4
21512,120,3,2,2,295000,2458,0,0,0,1,1,40.34713,-3.707908,2,127,22,7
21511,82,2,2,6,270000,3293,0,0,1,1,1,40.353257,-3.705565,1,94,18,4
21510,81,3,1,3,116100,1433,0,0,0,1,0,40.353398,-3.68154,0,34,6,4
21509,103,3,2,4,250000,2427,0,0,1,1,1,40.354786,-3.686515,0,101,16,7
21507,70,3,1,3,99000,1414,0,0,1,1,0,40.34485,-3.690009,0,20,6,3
21506,60,3,1,2,74550,1242,1,0,0,0,0,40.344027,-3.690525,0,20,6,3
21504,95,3,1,2,130000,1368,0,0,0,1,0,40.350173,-3.687048,0,101,16,7
21503,70,3,1,2,120000,1714,1,0,0,1,0,40.34857,-3.690712,0,101,16,7
21502,71,3,1,1,149000,2099,0,0,1,1,0,40.355037,-3.690745,0,101,16,7
21501,70,3,1,3,135000,1929,1,0,1,1,0,40.355037,-3.690745,0,101,16,7
21500,98,4,2,0,230000,2347,0,0,1,1,0,40.356561,-3.692292,0,101,16,7
21499,55,3,1,2,91000,1655,0,0,0,1,0,40.351646,-3.696196,1,94,18,4
21498,115,4,1,1,184900,1608,0,0,0,1,0,40.348992,-3.6892,0,101,16,7
21497,78,3,1,4,127000,1628,0,0,0,0,0,40.343843,-3.705843,2,127,22,7
21496,68,3,1,4,83900,1234,0,0,0,1,0,40.34155,-3.688185,0,20,6,3
21495,120,3,1,2,180000,1500,0,0,0,1,1,40.344421,-3.709437,2,127,22,7
21494,64,3,1,1,76000,1188,1,0,0,1,0,40.344359,-3.690945,0,20,6,3
21493,92,4,1,5,163000,1772,0,0,1,1,0,40.356102,-3.693758,1,94,18,4
21492,154,3,2,3,280000,1818,0,0,1,1,1,40.344524,-3.675273,0,34,6,4
21491,105,3,2,0,180000,1714,0,0,0,1,0,40.349174,-3.686135,0,101,16,7
21488,53,3,1,3,114300,2157,0,0,0,0,0,40.347933,-3.690415,0,101,16,7
21483,53,3,1,3,114300,2157,0,0,0,0,0,40.347933,-3.690415,0,101,16,7
21482,68,3,1,2,88000,1294,0,0,0,1,0,40.344359,-3.690945,0,20,6,3
21481,75,3,1,5,110000,1467,0,0,0,0,0,40.356586,-3.698764,1,94,18,4
21480,83,2,1,1,146000,1759,0,0,1,1,0,40.34266,-3.703236,2,127,22,7
21479,95,3,1,0,112000,1179,1,0,0,0,0,40.34459,-3.715066,2,127,22,7
21478,30,1,1,0,59000,1967,0,0,0,1,0,40.34143,-3.68797,0,20,6,3
21477,53,1,1,6,146000,2755,0,0,1,1,1,40.338783,-3.678667,0,34,6,4
21476,125,3,3,7,275000,2200,0,0,1,1,0,40.348472,-3.676354,0,34,6,4
