,Unnamed: 0,id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,lat,long
0,0,21742,64.0,2,1.0,3,85000,1328,0,0,0,1,0,40.342876200000006,-3.6889741000000003
1,1,21741,70.0,3,1.0,4,129900,1856,1,0,1,1,0,40.35702390000001,-3.6970982000000006
2,2,21740,94.0,2,2.0,1,144247,1535,0,0,1,1,0,40.3446225,-3.715213
3,3,21739,64.0,2,1.0,0,109900,1717,0,0,1,1,0,40.343787299999995,-3.70866
4,4,21738,108.0,2,2.0,4,260000,2407,0,0,1,1,1,40.3555643,-3.6875574999999996
5,5,21737,126.0,4,2.0,3,195000,1548,0,0,0,1,1,40.343385999999995,-3.7125178
6,6,21736,120.0,5,2.0,1,190000,1583,0,0,0,1,1,40.3392092,-3.7089477999999994
7,9,21733,85.0,2,1.0,7,131400,1546,1,0,0,1,0,40.3509012,-3.6884687000000005
8,10,21732,69.0,2,2.0,2,118000,1710,1,0,0,1,0,40.348462700000006,-3.7063681000000006
9,12,21730,123.0,3,2.0,4,195000,1585,0,0,1,1,0,40.3582489,-3.685168399999999
10,13,21729,109.0,3,2.0,3,205000,1881,0,0,1,1,0,40.351107299999995,-3.701806
11,14,21728,64.0,3,1.0,3,72000,1125,0,0,0,1,0,40.34232720000001,-3.6880107000000004
12,15,21727,115.0,3,1.0,3,160000,1391,0,0,0,1,0,40.3525994,-3.6898214
13,23,21719,51.0,2,1.0,0,93000,1824,0,0,0,0,0,40.3439243,-3.7112622
14,24,21718,134.0,3,2.0,2,130000,970,0,0,1,0,0,40.3521781,-3.7155891000000003
15,25,21717,62.0,2,1.0,2,104000,1677,0,0,0,1,0,40.34543239999999,-3.7083703000000003
16,26,21716,75.0,3,1.0,3,138000,1840,0,0,0,1,1,40.34502979999999,-3.704253
17,28,21714,65.0,3,1.0,1,150000,2308,1,0,1,1,0,40.35503679999999,-3.6907449999999997
18,29,21713,70.0,2,1.0,3,145900,2084,0,0,0,1,0,40.3446983,-3.7130216000000003
19,30,21712,75.0,1,1.0,1,92500,1233,0,0,1,1,0,40.3337112,-3.7068739
20,31,21711,123.0,3,2.0,7,298000,2423,0,0,1,1,1,40.3555643,-3.6875574999999996
21,32,21710,61.0,3,1.0,2,99900,1638,0,0,0,1,0,40.3439243,-3.7112622
22,34,21708,61.0,3,1.0,5,100000,1639,0,0,0,1,0,40.3541296,-3.6812966
23,35,21707,71.0,3,1.0,1,131400,1851,1,0,0,1,0,40.3463336,-3.7041407
24,38,21704,78.0,4,1.0,2,146700,1881,0,0,1,1,0,40.3547184,-3.694380199999999
25,39,21703,52.0,1,1.0,1,92500,1779,0,0,0,0,0,40.35051319999999,-3.6878101
26,40,21702,125.0,3,3.0,7,275000,2200,0,0,1,1,0,40.3450448,-3.6751735999999986
27,41,21701,75.0,0,1.0,1,83800,1117,0,0,1,1,0,40.3337112,-3.7068739
28,42,21700,97.0,2,2.0,0,266122,2744,0,1,1,1,0,40.33808,-3.6790934
29,43,21699,93.0,2,2.0,7,228273,2455,0,1,1,1,0,40.33808,-3.6790934
30,44,21698,103.0,4,2.0,1,171900,1669,0,0,1,1,0,40.35702390000001,-3.6970982000000006
31,45,21697,83.0,2,2.0,7,228273,2750,0,0,1,1,1,40.3554369,-3.6956860000000002
32,46,21696,45.0,2,1.0,1,85000,1889,1,0,0,1,0,40.3517088,-3.6888197
33,47,21695,120.0,3,2.0,7,298000,2483,0,0,1,0,1,40.3555643,-3.6875574999999996
34,48,21694,74.0,3,1.0,1,139000,1878,0,0,0,1,0,40.3576185,-3.6990352999999994
35,49,21693,125.0,3,2.0,7,272500,2180,0,0,1,1,0,40.3484715,-3.6763540999999997
36,50,21692,126.0,4,2.0,0,275000,2183,0,0,1,1,1,40.341583299999996,-3.6764712999999998
37,51,21691,158.0,3,2.0,4,289000,1829,0,0,1,1,1,40.3559515,-3.6819687999999995
38,53,21689,108.0,3,2.0,4,179000,1657,0,0,1,1,0,40.3494633,-3.699619799999999
39,55,21687,51.0,2,1.0,3,89500,1755,1,0,0,1,0,40.35,-3.6854704
40,56,21686,112.0,3,2.0,3,289000,2580,0,0,1,1,1,40.349550799999996,-3.6780052000000003
41,57,21685,109.0,3,2.0,2,216278,1984,0,1,1,1,1,40.34114,-3.677309999999999
42,58,21684,107.0,3,2.0,1,207503,1939,0,1,1,1,1,40.34114,-3.677309999999999
43,59,21683,76.0,2,2.0,3,162793,2142,0,1,1,1,1,40.34114,-3.677309999999999
44,60,21682,105.0,3,2.0,1,204999,1952,0,1,1,1,1,40.34114,-3.677309999999999
45,61,21681,109.0,3,2.0,4,220879,2026,0,1,1,1,1,40.34114,-3.677309999999999
46,62,21680,108.0,3,2.0,4,218258,2021,0,1,1,1,1,40.34114,-3.677309999999999
47,63,21679,109.0,3,2.0,0,231855,2127,0,1,1,1,1,40.34114,-3.677309999999999
48,64,21678,76.0,2,2.0,4,163397,2150,0,1,1,1,1,40.34114,-3.677309999999999
49,65,21677,76.0,2,2.0,2,160759,2115,0,1,1,1,1,40.34114,-3.677309999999999
50,66,21676,108.0,3,2.0,3,217169,2011,0,1,1,1,1,40.34114,-3.677309999999999
51,67,21675,76.0,2,2.0,5,165208,2174,0,1,1,1,1,40.34114,-3.677309999999999
52,68,21674,109.0,3,2.0,3,219775,2016,0,1,1,1,1,40.34114,-3.677309999999999
53,69,21673,108.0,3,2.0,0,230817,2137,0,1,1,1,1,40.34114,-3.677309999999999
54,70,21672,108.0,3,2.0,2,213722,1979,0,1,1,1,1,40.34114,-3.677309999999999
55,71,21671,111.0,2,2.0,6,230749,2079,0,1,1,1,1,40.33832,-3.6770699999999996
56,72,21670,115.0,3,2.0,2,233789,2033,0,1,1,1,1,40.33832,-3.6770699999999996
57,73,21669,115.0,3,2.0,1,230789,2007,0,1,1,1,1,40.33832,-3.6770699999999996
58,74,21668,117.0,3,2.0,1,244171,2087,0,1,1,1,1,40.33832,-3.6770699999999996
59,75,21667,117.0,3,2.0,1,243468,2081,0,1,1,1,1,40.33832,-3.6770699999999996
60,76,21666,117.0,3,2.0,1,244798,2092,0,1,1,1,1,40.33832,-3.6770699999999996
61,77,21665,118.0,3,2.0,1,219235,1858,0,1,1,1,1,40.33832,-3.6770699999999996
62,78,21664,115.0,3,2.0,5,242789,2111,0,1,1,1,1,40.33832,-3.6770699999999996
63,79,21663,97.0,4,1.0,3,130000,1340,0,0,0,0,0,40.3448639,-3.7082135000000003
64,80,21662,106.0,3,2.0,3,251569,2373,0,1,1,1,0,40.33808,-3.6790934
65,81,21661,103.0,3,2.0,3,235402,2285,0,1,1,1,0,40.33808,-3.6790934
66,82,21660,103.0,3,2.0,1,235172,2283,0,1,1,1,0,40.33808,-3.6790934
67,83,21659,103.0,3,2.0,5,236227,2293,0,1,1,1,0,40.33808,-3.6790934
68,84,21658,114.0,3,2.0,2,254710,2234,0,1,1,1,0,40.33808,-3.6790934
69,86,21656,140.0,3,3.0,7,272500,1946,0,0,1,1,0,40.3484715,-3.6763540999999997
70,87,21655,58.0,3,1.0,2,85000,1466,0,0,0,1,0,40.3474862,-3.6903285000000006
71,88,21654,65.0,3,1.0,1,94000,1446,0,0,0,1,0,40.34097209999999,-3.691918
72,89,21653,110.0,4,2.0,1,175000,1591,0,0,0,1,0,40.3509012,-3.6884687000000005
73,92,21650,90.0,1,1.0,7,183159,2035,0,1,1,1,1,40.33832,-3.6770699999999996
74,93,21649,125.0,3,2.0,1,210000,1680,0,0,1,1,1,40.3597519,-3.690781
75,94,21648,58.0,2,1.0,0,85000,1466,0,0,0,1,0,40.343968200000006,-3.7165806000000003
76,95,21647,92.0,3,1.0,6,159900,1738,0,0,1,1,0,40.3588146,-3.6961055
77,96,21646,70.0,2,1.0,3,117000,1671,0,0,0,1,0,40.345133600000004,-3.7125821000000006
78,97,21645,54.0,2,1.0,2,110000,2037,0,0,0,1,0,40.3465696,-3.7081318999999997
79,99,21643,108.0,3,1.0,2,140000,1296,0,0,0,1,0,40.345742,-3.7142675000000005
80,100,21642,65.0,2,1.0,3,106500,1638,0,0,0,1,0,40.3530107,-3.6856331
81,101,21641,102.0,3,2.0,3,127500,1250,0,0,0,1,0,40.3517253,-3.6865639999999997
82,102,21640,80.0,2,1.0,3,148000,1850,0,0,1,1,1,40.3339175,-3.6994369
83,103,21639,108.0,2,1.0,4,205000,1898,0,0,1,1,1,40.3460296,-3.6769729
84,104,21638,80.0,3,2.0,4,220000,2750,0,0,1,1,1,40.3517253,-3.6865639999999997
85,105,21637,16.0,3,1.0,1,114000,7125,0,0,0,1,0,40.348991600000005,-3.6892002999999995
86,106,21636,54.0,2,1.0,3,89900,1665,0,0,0,1,0,40.3430374,-3.7089705000000004
87,107,21635,70.0,2,2.0,4,210000,3000,0,0,1,1,1,40.353782200000005,-3.6857836
88,108,21634,99.0,2,2.0,0,145000,1465,0,0,1,1,0,40.3448281,-3.7058052000000004
89,109,21633,123.0,4,2.0,3,275000,2236,0,0,1,1,0,40.3589037,-3.6892690999999997
90,110,21632,64.0,3,1.0,5,104000,1625,0,0,0,1,0,40.3517459,-3.6952067000000004
91,111,21631,107.0,3,2.0,6,228629,2137,0,1,1,1,1,40.34114,-3.677309999999999
92,112,21630,76.0,2,2.0,6,169021,2224,0,1,1,1,1,40.34114,-3.677309999999999
93,113,21629,109.0,3,2.0,5,223022,2046,0,1,1,1,1,40.34114,-3.677309999999999
94,114,21628,108.0,3,2.0,5,220072,2038,0,1,1,1,1,40.34114,-3.677309999999999
95,115,21627,103.0,3,2.0,6,235718,2289,0,1,1,1,0,40.33808,-3.6790934
96,116,21626,103.0,3,2.0,1,245000,2379,0,1,1,1,1,40.339889899999996,-3.67918
97,117,21625,143.0,3,2.0,0,260000,1818,0,1,1,1,1,40.339889899999996,-3.67918
98,118,21624,99.0,3,2.0,6,235000,2374,0,1,1,1,1,40.339889899999996,-3.67918
99,119,21623,100.0,3,2.0,3,235000,2350,0,1,1,1,1,40.339889899999996,-3.67918
100,120,21622,176.0,2,2.0,6,265000,1506,0,1,1,1,1,40.339889899999996,-3.67918
101,121,21621,87.0,2,2.0,2,190000,2184,0,1,1,1,1,40.339889899999996,-3.67918
102,122,21620,106.0,3,2.0,4,256115,2416,0,1,1,1,0,40.33808,-3.6790934
103,123,21619,113.0,3,2.0,0,261989,2318,0,1,1,1,0,40.33808,-3.6790934
104,124,21618,115.0,3,2.0,1,273353,2377,0,1,1,1,0,40.33808,-3.6790934
105,125,21617,129.0,3,2.0,7,297621,2307,0,1,1,1,0,40.33808,-3.6790934
106,126,21616,115.0,3,2.0,6,279778,2433,0,1,1,1,0,40.33808,-3.6790934
107,128,21614,90.0,3,2.0,2,195000,2167,0,0,1,1,0,40.3508424,-3.701536899999999
108,129,21613,60.0,2,1.0,1,126900,2115,1,0,0,1,0,40.35479829999999,-3.6920269
109,131,21611,80.0,3,1.0,0,145000,1812,0,0,0,1,0,40.3445883,-3.7122615
110,132,21610,73.0,2,1.0,1,127500,1747,0,0,1,1,0,40.343968200000006,-3.7165806000000003
111,133,21609,122.0,3,2.0,0,179000,1467,0,0,1,1,1,40.3339175,-3.6994369
112,134,21608,98.0,3,2.0,0,266122,2716,0,0,1,1,1,40.3554369,-3.6956860000000002
113,135,21607,97.0,3,2.0,0,261989,2701,0,0,1,1,1,40.3554369,-3.6956860000000002
114,136,21606,111.0,3,2.0,7,297621,2681,0,0,1,1,1,40.3554369,-3.6956860000000002
115,137,21605,99.0,3,2.0,3,251569,2541,0,0,1,1,1,40.3554369,-3.6956860000000002
116,139,21603,85.0,3,1.0,4,138000,1624,0,0,0,1,0,40.3434601,-3.7171475
117,140,21602,90.0,3,2.0,2,225000,2500,0,0,1,1,1,40.343867100000004,-3.675062499999999
118,141,21601,133.0,2,1.0,6,264000,1985,0,0,1,1,1,40.3570698,-3.68532
119,142,21600,60.0,3,1.0,2,98260,1638,0,0,0,1,0,40.348469,-3.6887006
120,143,21599,133.0,3,3.0,7,275000,2068,0,0,1,1,0,40.3450448,-3.6751735999999986
121,144,21598,85.0,2,1.0,2,124000,1459,0,0,0,1,0,40.3455614,-3.7131760000000003
122,145,21597,59.0,2,2.0,3,164513,2788,0,1,1,1,1,40.355715000000004,-3.7023692
123,146,21596,59.0,2,2.0,1,164416,2787,0,1,1,1,1,40.355715000000004,-3.7023692
124,147,21595,58.0,2,2.0,4,165435,2852,0,1,1,1,1,40.355715000000004,-3.7023692
125,148,21594,79.0,3,2.0,1,202629,2565,0,1,1,1,1,40.355715000000004,-3.7023692
126,149,21593,60.0,2,2.0,0,164242,2737,0,1,1,1,1,40.355715000000004,-3.7023692
127,150,21592,121.0,3,2.0,3,260000,2149,0,0,1,1,1,40.358669899999995,-3.6828799999999986
128,151,21591,126.0,3,2.0,2,294900,2340,0,1,1,1,1,40.350105600000006,-3.7048891999999998
129,152,21590,134.0,4,2.0,1,319900,2387,0,1,1,1,1,40.350105600000006,-3.7048891999999998
130,153,21589,111.0,3,2.0,1,259900,2341,0,1,1,1,1,40.350105600000006,-3.7048891999999998
131,154,21588,122.0,3,2.0,2,285900,2343,0,1,1,1,1,40.350105600000006,-3.7048891999999998
132,155,21587,125.0,3,2.0,1,289900,2319,0,1,1,1,1,40.350105600000006,-3.7048891999999998
133,156,21586,102.0,2,2.0,1,249900,2450,0,1,1,1,1,40.350105600000006,-3.7048891999999998
134,157,21585,104.0,3,2.0,1,273352,2628,0,0,1,1,1,40.340604799999994,-3.6748083
135,158,21584,66.0,3,1.0,1,104900,1589,0,0,1,1,0,40.34097209999999,-3.691918
