,id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,coordinates
0,21742,64.0,2,1.0,3,85000,1328,False,False,False,True,False,"{'lat': 40.3428762, 'lng': -3.6889741}"
1,21741,70.0,3,1.0,4,129900,1856,True,False,True,True,False,"{'lat': 40.35702390000001, 'lng': -3.6970982}"
2,21740,94.0,2,2.0,1,144247,1535,False,False,True,True,False,"{'lat': 40.3446225, 'lng': -3.715213}"
3,21739,64.0,2,1.0,Bajo,109900,1717,False,False,True,True,False,"{'lat': 40.3437873, 'lng': -3.70866}"
4,21738,108.0,2,2.0,4,260000,2407,False,False,True,True,True,"{'lat': 40.3555643, 'lng': -3.6875575}"
5,21737,126.0,4,2.0,3,195000,1548,False,False,False,True,True,"{'lat': 40.343386, 'lng': -3.7125178}"
6,21736,120.0,5,2.0,1,190000,1583,False,False,False,True,True,"{'lat': 40.3392092, 'lng': -3.7089478}"
9,21733,85.0,2,1.0,7,131400,1546,True,False,False,True,False,"{'lat': 40.3509012, 'lng': -3.6884687}"
10,21732,69.0,2,2.0,2,118000,1710,True,False,False,True,False,"{'lat': 40.3484627, 'lng': -3.7063681}"
12,21730,123.0,3,2.0,4,195000,1585,False,False,True,True,False,"{'lat': 40.3582489, 'lng': -3.685168399999999}"
13,21729,109.0,3,2.0,3,205000,1881,False,False,True,True,False,"{'lat': 40.3511073, 'lng': -3.701806}"
14,21728,64.0,3,1.0,3,72000,1125,False,False,False,True,False,"{'lat': 40.3423272, 'lng': -3.6880107}"
15,21727,115.0,3,1.0,3,160000,1391,False,False,,True,False,"{'lat': 40.3525994, 'lng': -3.6898214}"
23,21719,51.0,2,1.0,Semi-sótano,93000,1824,False,False,,,False,"{'lat': 40.3439243, 'lng': -3.7112622}"
24,21718,134.0,3,2.0,2,130000,970,False,False,True,,False,"{'lat': 40.3521781, 'lng': -3.7155891}"
25,21717,62.0,2,1.0,2,104000,1677,False,,,True,False,"{'lat': 40.3454324, 'lng': -3.7083703}"
26,21716,75.0,3,1.0,3,138000,1840,False,False,False,True,True,"{'lat': 40.3450298, 'lng': -3.704253}"
28,21714,65.0,3,1.0,1,150000,2308,True,False,True,True,False,"{'lat': 40.3550368, 'lng': -3.690745}"
29,21713,70.0,2,1.0,3,145900,2084,False,False,False,True,False,"{'lat': 40.3446983, 'lng': -3.7130216}"
30,21712,75.0,1,1.0,1,92500,1233,False,,True,True,False,"{'lat': 40.3337112, 'lng': -3.7068739}"
31,21711,123.0,3,2.0,7,298000,2423,False,False,True,True,True,"{'lat': 40.3555643, 'lng': -3.6875575}"
32,21710,61.0,3,1.0,2,99900,1638,False,,,True,False,"{'lat': 40.3439243, 'lng': -3.7112622}"
34,21708,61.0,3,1.0,5,100000,1639,False,False,False,True,False,"{'lat': 40.3541296, 'lng': -3.6812966}"
35,21707,71.0,3,1.0,1,131400,1851,True,False,False,True,False,"{'lat': 40.3463336, 'lng': -3.7041407}"
37,21705,60.0,2,1.0,,154000,2567,False,False,False,True,False,"{'lat': 40.3446983, 'lng': -3.7130216}"
38,21704,78.0,4,1.0,2,146700,1881,False,,True,True,False,"{'lat': 40.3547184, 'lng': -3.694380199999999}"
39,21703,52.0,1,1.0,1,92500,1779,False,,False,,False,"{'lat': 40.35051319999999, 'lng': -3.6878101}"
40,21702,125.0,3,3.0,7,275000,2200,False,False,True,True,False,"{'lat': 40.3450448, 'lng': -3.675173599999999}"
41,21701,75.0,0,1.0,1,83800,1117,False,False,True,True,False,"{'lat': 40.3337112, 'lng': -3.7068739}"
42,21700,97.0,2,2.0,Bajo,266122,2744,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
43,21699,93.0,2,2.0,7,228273,2455,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
44,21698,103.0,4,2.0,1,171900,1669,False,False,True,True,False,"{'lat': 40.35702390000001, 'lng': -3.6970982}"
45,21697,83.0,2,2.0,7,228273,2750,False,False,True,True,True,"{'lat': 40.3554369, 'lng': -3.695686}"
46,21696,45.0,2,1.0,1,85000,1889,True,False,False,True,False,"{'lat': 40.3517088, 'lng': -3.6888197}"
47,21695,120.0,3,2.0,7,298000,2483,False,False,True,,True,"{'lat': 40.3555643, 'lng': -3.6875575}"
48,21694,74.0,3,1.0,1,139000,1878,False,False,False,True,False,"{'lat': 40.3576185, 'lng': -3.6990353}"
49,21693,125.0,3,2.0,7,272500,2180,False,False,True,True,False,"{'lat': 40.3484715, 'lng': -3.6763541}"
50,21692,126.0,4,2.0,Bajo,275000,2183,False,False,True,True,True,"{'lat': 40.3415833, 'lng': -3.6764713}"
51,21691,158.0,3,2.0,4,289000,1829,False,False,True,True,True,"{'lat': 40.3559515, 'lng': -3.6819688}"
53,21689,108.0,3,2.0,4,179000,1657,False,False,True,True,False,"{'lat': 40.3494633, 'lng': -3.699619799999999}"
55,21687,51.0,2,1.0,3,89500,1755,True,False,False,True,False,"{'lat': 40.35, 'lng': -3.6854704}"
56,21686,112.0,3,2.0,3,289000,2580,False,False,True,True,True,"{'lat': 40.3495508, 'lng': -3.6780052}"
57,21685,109.0,3,2.0,2,216278,1984,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
58,21684,107.0,3,2.0,1,207503,1939,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
59,21683,76.0,2,2.0,3,162793,2142,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
60,21682,105.0,3,2.0,1,204999,1952,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
61,21681,109.0,3,2.0,4,220879,2026,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
62,21680,108.0,3,2.0,4,218258,2021,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
63,21679,109.0,3,2.0,Bajo,231855,2127,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
64,21678,76.0,2,2.0,4,163397,2150,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
65,21677,76.0,2,2.0,2,160759,2115,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
66,21676,108.0,3,2.0,3,217169,2011,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
67,21675,76.0,2,2.0,5,165208,2174,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
68,21674,109.0,3,2.0,3,219775,2016,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
69,21673,108.0,3,2.0,Bajo,230817,2137,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
70,21672,108.0,3,2.0,2,213722,1979,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
71,21671,111.0,2,2.0,6,230749,2079,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
72,21670,115.0,3,2.0,2,233789,2033,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
73,21669,115.0,3,2.0,1,230789,2007,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
74,21668,117.0,3,2.0,1,244171,2087,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
75,21667,117.0,3,2.0,1,243468,2081,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
76,21666,117.0,3,2.0,1,244798,2092,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
77,21665,118.0,3,2.0,1,219235,1858,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
78,21664,115.0,3,2.0,5,242789,2111,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
79,21663,97.0,4,1.0,3,130000,1340,False,,False,,False,"{'lat': 40.3448639, 'lng': -3.7082135}"
80,21662,106.0,3,2.0,3,251569,2373,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
81,21661,103.0,3,2.0,3,235402,2285,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
82,21660,103.0,3,2.0,1,235172,2283,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
83,21659,103.0,3,2.0,5,236227,2293,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
84,21658,114.0,3,2.0,2,254710,2234,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
85,21657,150.0,2,1.0,,159000,1060,True,False,,,True,"{'lat': 40.3463265, 'lng': -3.7130452}"
86,21656,140.0,3,3.0,7,272500,1946,False,False,True,True,False,"{'lat': 40.3484715, 'lng': -3.6763541}"
87,21655,58.0,3,1.0,2,85000,1466,False,False,False,True,False,"{'lat': 40.3474862, 'lng': -3.6903285}"
88,21654,65.0,3,1.0,1,94000,1446,False,False,False,True,False,"{'lat': 40.34097209999999, 'lng': -3.691918}"
89,21653,110.0,4,2.0,1,175000,1591,False,False,False,True,False,"{'lat': 40.3509012, 'lng': -3.6884687}"
92,21650,90.0,1,1.0,7,183159,2035,False,True,True,True,True,"{'lat': 40.33832, 'lng': -3.67707}"
93,21649,125.0,3,2.0,1,210000,1680,False,False,True,True,True,"{'lat': 40.3597519, 'lng': -3.690781}"
94,21648,58.0,2,1.0,Bajo,85000,1466,False,False,False,True,False,"{'lat': 40.3439682, 'lng': -3.7165806}"
95,21647,92.0,3,1.0,6,159900,1738,False,False,True,True,False,"{'lat': 40.3588146, 'lng': -3.6961055}"
96,21646,70.0,2,1.0,3,117000,1671,False,False,False,True,False,"{'lat': 40.3451336, 'lng': -3.7125821}"
97,21645,54.0,2,1.0,2,110000,2037,False,False,False,True,False,"{'lat': 40.3465696, 'lng': -3.7081319}"
99,21643,108.0,3,1.0,2,140000,1296,False,False,False,True,False,"{'lat': 40.345742, 'lng': -3.7142675}"
100,21642,65.0,2,1.0,3,106500,1638,False,False,False,True,False,"{'lat': 40.3530107, 'lng': -3.6856331}"
101,21641,102.0,3,2.0,3,127500,1250,False,False,False,True,False,"{'lat': 40.3517253, 'lng': -3.686564}"
102,21640,80.0,2,1.0,3,148000,1850,False,False,True,True,True,"{'lat': 40.3339175, 'lng': -3.6994369}"
103,21639,108.0,2,1.0,4,205000,1898,False,False,True,True,True,"{'lat': 40.3460296, 'lng': -3.6769729}"
104,21638,80.0,3,2.0,4,220000,2750,False,False,True,True,True,"{'lat': 40.3517253, 'lng': -3.686564}"
105,21637,16.0,3,1.0,1,114000,7125,False,False,False,True,False,"{'lat': 40.3489916, 'lng': -3.6892003}"
106,21636,54.0,2,1.0,3,89900,1665,False,False,False,True,False,"{'lat': 40.3430374, 'lng': -3.7089705}"
107,21635,70.0,2,2.0,4,210000,3000,False,False,True,True,True,"{'lat': 40.3537822, 'lng': -3.6857836}"
108,21634,99.0,2,2.0,Entreplanta exterior,145000,1465,False,False,True,True,False,"{'lat': 40.3448281, 'lng': -3.7058052}"
109,21633,123.0,4,2.0,3,275000,2236,False,,True,True,False,"{'lat': 40.3589037, 'lng': -3.6892691}"
110,21632,64.0,3,1.0,5,104000,1625,False,False,False,True,False,"{'lat': 40.3517459, 'lng': -3.6952067}"
111,21631,107.0,3,2.0,6,228629,2137,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
112,21630,76.0,2,2.0,6,169021,2224,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
113,21629,109.0,3,2.0,5,223022,2046,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
114,21628,108.0,3,2.0,5,220072,2038,False,True,True,True,True,"{'lat': 40.34114, 'lng': -3.677309999999999}"
115,21627,103.0,3,2.0,6,235718,2289,False,True,True,True,False,"{'lat': 40.33808, 'lng': -3.6790934}"
116,21626,103.0,3,2.0,1,245000,2379,False,True,True,True,True,"{'lat': 40.3398899, 'lng': -3.67918}"
117,21625,143.0,3,2.0,Bajo,260000,1818,False,True,True,True,True,"{'lat': 40.3398899, 'lng': -3.67918}"
118,21624,99.0,3,2.0,6,235000,2374,False,True,True,True,True,"{'lat': 40.3398899, 'lng': -3.67918}"
119,21623,100.0,3,2.0,3,235000,2350,False,True,True,True,True,"{'lat': 40.3398899, 'lng': -3.67918}"
120,21622,176.0,2,2.0,6,265000,1506,False,True,True,True,True,"{'lat': 40.3398899, 'lng': -3.67918}"
